순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
148,웃소,원작: 웃소 ;그림: 박강호,미래엔,2021,4,9.79117E+12,77810,810,47
148,곤충보다 작아진 정브르 :생물 학습 만화,원작: 정브르 ;그림: 강신영,겜툰,2022,3,9.79117E+12,77490,491,47
148,(백종원의) 도전 요리왕 :음식으로 맛보는 세계 역사 문화 체험 ,"글: 백종원,그림: 이정태",위즈덤하우스 미디어그룹,2019,4,9.79119E+12,74900,594,47
148,(설민석의) 그리스 로마 신화 대모험,"글: 설민석,라임스튜디오",Dankkum i(단꿈아이),2022,4,9.79119E+12,77890,219,47
148,설민석의 세계사 대모험,"글: 설민석,그림: 박성일",단꿈아이,2019,20,9.79119E+12,77900,909,47
156,웃소,원작: 웃소 ;그림: 박강호,미래엔,2021,2,9.79116E+12,77810,810,46
156,흔한남매 이무기 :이해하면 무서운 이야기,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2023,2,9.79117E+12,77810,810,46
156,코믹 메이플 스토리 수학도둑 98 - 국내 최초 수학논술만화,"송도수 (지은이), 서정 엔터테인먼트 (그림), 여운방 (감수)",서울문화사,2024,98,9.79117E+12,,,46
156,비밀요원 레너드,글: 박설연 ;그림: 김덕영,아울북(북이십일 아울북),2022,20,9.79117E+12,74810,813.7,46
156,(설민석의) 우리 고전 대모험,"글: 설민석,그림: 강신영",Dankkum i(단꿈아이),2024,2,9.79119E+12,74810,813.5,46
161,그리스 로마 신화,"글: 박시연,정보글: 강대진",아울북(북이십일 아울북),2017,36,9.78895E+12,74800,219,45
161,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;정보글: 최은하,아울북(북이십일 아울북),2018,7,9.78895E+12,74900,980.2,45
161,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;정보글: 최은하,아울북(북이십일 아울북),2018,23,9.78895E+12,74900,980.2,45
161,의사 어벤저스 :어린이 의학 동화,글: 고희정 ;그림: 조승연,가나문화콘텐츠,2021,1,9.78896E+12,74510,510,45
161,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,3,9.79116E+12,77490,472,45
161,의사 어벤저스 :어린이 의학 동화,글: 고희정 ;그림: 조승연,가나문화콘텐츠,2021,15,9.79117E+12,74510,510,45
161,의사 어벤저스 :어린이 의학 동화,글: 고희정 ;그림: 조승연,가나문화콘텐츠,2021,17,9.79117E+12,74510,510,45
161,의사 어벤저스 :어린이 의학 동화,글: 고희정 ;그림: 조승연,가나문화콘텐츠,2021,20,9.79117E+12,74510,510,45
161,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,1,9.79117E+12,77400,400,45
161,물리박사 김상욱의 수상한 연구실 :어린이를 위한 세상의 모든 과학,글: 김하연 ;그림: 정순규,아울북(북이십일 아울북),2023,2,9.79117E+12,74400,420,45
161,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,2,9.79119E+12,74810,813.7,45
161,설민석의 삼국지 대모험,원작: 나관중 ;만화: 스튜디오 담,Dankkum i(단꿈아이),2021,15,9.79119E+12,77820,823.5,45
173,그리스 로마 신화,"글: 박시연,정보글: 강대진",아울북(북이십일 아울북),2017,37,9.78895E+12,74800,219,44
173,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;정보글: 최은하,아울북(북이십일 아울북),2018,20,9.78895E+12,74900,980.2,44
173,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,1,9.79113E+12,74810,813.7,44
173,후덜덜 식당 ,글: 강효미 ;그림: 유영근,지학사,2023,2,9.79116E+12,74810,813.7,44
173,(신기한 맛) 도깨비 식당,"김용세,센개 그림",꿈터,2022,1,9.79117E+12,74810,813.7,44
173,(신기한 맛) 도깨비 식당,"김용세,센개 그림",꿈터,2022,2,9.79117E+12,74810,813.7,44
